1 39          thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
1 41          thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
1 92          thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
1 95          rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
1 96          chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
1 100         ủng_hộ bộ_trưởng tiến 
1 101         chúc_mừng bà tôi tin bà sẽ làm tốt hơn
1 102         chuc mừng cô cháu tin vào cô
1 143         hoan_hô các anh công_an 
1 202         nay đọc được tin bài naày thấy mừng quá 
1 213         rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
1 261         hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
1 267         hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
1 324         hoan_hô mấy anh cảnh_sát
1 377         tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
1 380         rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
1 386         thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
1 389         một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
1 390         một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
1 392         rất hay
1 394         tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
1 400         ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
1 405         tôi rất ủng_hộ cách làm này 
1 413         ủng_hộ bộ_trưởng
1 417         rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
1 418         hoan_nghênh
1 419         cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
1 423         rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
1 466         rất dũng_cảm
1 467         hay
1 474         đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
1 1296		  tôi hưởng_ứng 
1 1361        nhiệt_liệt ủng_hộ
1 1601        một chính_sách hay hợp_lý phục_vụ nhân_dân
1 1606        đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
1 1613        hoàn_toàn đồng_ý 
1 1802        chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
1 2041        rất mạnh_mẽ
1 2096        tổng_thống phải vậy nói là làm
1 2099        bộ_trưởng nói rất đúng
1 2100        đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
1 2111        rất hay
1 2121        chính_xác luôn 
1 2122        chuẩn rồi bác ơi cần trừng_phạt thích_đáng
1 2123        quá thích luôn 
1 2139        bác nói chuẩn quá 
1 2140        hay quá
1 2336        luôn_luôn ủng_hộ bác
1 2349        hay phải vậy chứ 
1 2389        cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
1 2393        tiếp_tục ủng_hộ ông hải q1 cố lên 
1 2442        hoàn_toàn ủng_hộ em hải cố lên em nhé 
1 2443        rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu
1 2476        ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn  
1 2500        ủng_hộ ạ
1 2501        ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
1 2502        rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
1 2539        tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
1 2542        nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
1 2552        tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
1 2554        dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
1 2584        chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
