@relation arff7884
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute 3 NUMERIC
@attribute 4 NUMERIC
@attribute 5 NUMERIC
@attribute 6 NUMERIC
@attribute 7 NUMERIC
@attribute 8 NUMERIC
@attribute 9 NUMERIC
@attribute 10 NUMERIC
@attribute 11 NUMERIC
@attribute 12 NUMERIC
@attribute 13 NUMERIC
@attribute 14 NUMERIC
@attribute 15 NUMERIC
@attribute 16 NUMERIC
@attribute 17 NUMERIC
@attribute 18 NUMERIC
@attribute 19 NUMERIC
@attribute 20 NUMERIC
@attribute 21 NUMERIC
@attribute 22 NUMERIC
@attribute 23 NUMERIC
@attribute 24 NUMERIC
@attribute 25 NUMERIC
@attribute 26 NUMERIC
@attribute 27 NUMERIC
@attribute 28 NUMERIC
@attribute 29 NUMERIC
@attribute 30 NUMERIC
@attribute 31 NUMERIC
@attribute 32 NUMERIC
@attribute 33 NUMERIC
@attribute 34 NUMERIC
@attribute 35 NUMERIC
@attribute 36 NUMERIC
@attribute 37 NUMERIC
@attribute 38 NUMERIC
@attribute 39 NUMERIC
@attribute 40 NUMERIC
@attribute 41 NUMERIC
@attribute 42 NUMERIC
@attribute 43 NUMERIC
@attribute 44 NUMERIC
@attribute 45 NUMERIC
@attribute 46 NUMERIC
@attribute 47 NUMERIC
@attribute 48 NUMERIC
@attribute 49 NUMERIC
@attribute 50 NUMERIC
@attribute 51 NUMERIC
@attribute 52 NUMERIC
@attribute 53 NUMERIC
@attribute 54 NUMERIC
@attribute 55 NUMERIC
@attribute 56 NUMERIC
@attribute 57 NUMERIC
@attribute 58 NUMERIC
@attribute 59 NUMERIC
@attribute 60 NUMERIC
@attribute 61 NUMERIC
@attribute 62 NUMERIC
@attribute 63 NUMERIC
@attribute 64 NUMERIC
@attribute 65 NUMERIC
@attribute 66 NUMERIC
@attribute 67 NUMERIC
@attribute 68 NUMERIC
@attribute 69 NUMERIC
@attribute 70 NUMERIC
@attribute 71 NUMERIC
@attribute 72 NUMERIC
@attribute 73 NUMERIC
@attribute 74 NUMERIC
@attribute 75 NUMERIC
@attribute 76 NUMERIC
@attribute 77 NUMERIC
@attribute 78 NUMERIC
@attribute 79 NUMERIC
@attribute 80 NUMERIC
@attribute 81 NUMERIC
@attribute 82 NUMERIC
@attribute 83 NUMERIC
@attribute 84 NUMERIC
@attribute 85 NUMERIC
@attribute 86 NUMERIC
@attribute 87 NUMERIC
@attribute 88 NUMERIC
@attribute 89 NUMERIC
@attribute 90 NUMERIC
@attribute 91 NUMERIC
@attribute 92 NUMERIC
@attribute 93 NUMERIC
@attribute 94 NUMERIC
@attribute 95 NUMERIC
@attribute 96 NUMERIC
@attribute 97 NUMERIC
@attribute 98 NUMERIC
@attribute 99 NUMERIC
@attribute 100 NUMERIC
@attribute 101 NUMERIC
@attribute 102 NUMERIC
@attribute 103 NUMERIC
@attribute 104 NUMERIC
@attribute 105 NUMERIC
@attribute 106 NUMERIC
@attribute 107 NUMERIC
@attribute 108 NUMERIC
@attribute 109 NUMERIC
@attribute 110 NUMERIC
@attribute 111 NUMERIC
@attribute 112 NUMERIC
@attribute 113 NUMERIC
@attribute 114 NUMERIC
@attribute 115 NUMERIC
@attribute 116 NUMERIC
@attribute 117 NUMERIC
@attribute 118 NUMERIC
@attribute 119 NUMERIC
@attribute 120 NUMERIC
@attribute 121 NUMERIC
@attribute 122 NUMERIC
@attribute 123 NUMERIC
@attribute 124 NUMERIC
@attribute 125 NUMERIC
@attribute 126 NUMERIC
@attribute 127 NUMERIC
@attribute 128 NUMERIC
@attribute 129 NUMERIC
@attribute 130 NUMERIC
@attribute 131 NUMERIC
@attribute 132 NUMERIC
@attribute 133 NUMERIC
@attribute 134 NUMERIC
@attribute 135 NUMERIC
@attribute 136 NUMERIC
@attribute 137 NUMERIC
@attribute 138 NUMERIC
@attribute 139 NUMERIC
@attribute 140 NUMERIC
@attribute 141 NUMERIC
@attribute 142 NUMERIC
@attribute 143 NUMERIC
@attribute 144 NUMERIC
@attribute 145 NUMERIC
@attribute 146 NUMERIC
@attribute 147 NUMERIC
@attribute 148 NUMERIC
@attribute 149 NUMERIC
@attribute 150 NUMERIC
@attribute 151 NUMERIC
@attribute 152 NUMERIC
@attribute 153 NUMERIC
@attribute 154 NUMERIC
@attribute 155 NUMERIC
@attribute 156 NUMERIC
@attribute 157 NUMERIC
@attribute 158 NUMERIC
@attribute 159 NUMERIC
@attribute 160 NUMERIC
@attribute 161 NUMERIC
@attribute 162 NUMERIC
@attribute 163 NUMERIC
@attribute 164 NUMERIC
@attribute 165 NUMERIC
@attribute 166 NUMERIC
@attribute 167 NUMERIC
@attribute 168 NUMERIC
@attribute 169 NUMERIC
@attribute 170 NUMERIC
@attribute 171 NUMERIC
@attribute 172 NUMERIC
@attribute 173 NUMERIC
@attribute 174 NUMERIC
@attribute 175 NUMERIC
@attribute 176 NUMERIC
@attribute 177 NUMERIC
@attribute 178 NUMERIC
@attribute 179 NUMERIC
@attribute 180 NUMERIC
@attribute 181 NUMERIC
@attribute 182 NUMERIC
@attribute 183 NUMERIC
@attribute 184 NUMERIC
@attribute 185 NUMERIC
@attribute 186 NUMERIC
@attribute 187 NUMERIC
@attribute 188 NUMERIC
@attribute 189 NUMERIC
@attribute 190 NUMERIC
@attribute 191 NUMERIC
@attribute 192 NUMERIC
@attribute 193 NUMERIC
@attribute 194 NUMERIC
@attribute 195 NUMERIC
@attribute 196 NUMERIC
@attribute 197 NUMERIC
@attribute 198 NUMERIC
@attribute 199 NUMERIC
@attribute 200 NUMERIC
@attribute 201 NUMERIC
@attribute 202 NUMERIC
@attribute 203 NUMERIC
@attribute 204 NUMERIC
@attribute 205 NUMERIC
@attribute 206 NUMERIC
@attribute 207 NUMERIC
@attribute 208 NUMERIC
@attribute 209 NUMERIC
@attribute 210 NUMERIC
@attribute 211 NUMERIC
@attribute 212 NUMERIC
@attribute 213 NUMERIC
@attribute 214 NUMERIC
@attribute 215 NUMERIC
@attribute 216 NUMERIC
@attribute 217 NUMERIC
@attribute 218 NUMERIC
@attribute 219 NUMERIC
@attribute 220 NUMERIC
@attribute 221 NUMERIC
@attribute 222 NUMERIC
@attribute 223 NUMERIC
@attribute 224 NUMERIC
@attribute 225 NUMERIC
@attribute 226 NUMERIC
@attribute 227 NUMERIC
@attribute 228 NUMERIC
@attribute 229 NUMERIC
@attribute 230 NUMERIC
@attribute 231 NUMERIC
@attribute 232 NUMERIC
@attribute 233 NUMERIC
@attribute 234 NUMERIC
@attribute 235 NUMERIC
@attribute 236 NUMERIC
@attribute 237 NUMERIC
@attribute 238 NUMERIC
@attribute 239 NUMERIC
@attribute 240 NUMERIC
@attribute 241 NUMERIC
@attribute 242 NUMERIC
@attribute 243 NUMERIC
@attribute 244 NUMERIC
@attribute 245 NUMERIC
@attribute 246 NUMERIC
@attribute 247 NUMERIC
@attribute 248 NUMERIC
@attribute 249 NUMERIC
@attribute 250 NUMERIC
@attribute 251 NUMERIC
@attribute 252 NUMERIC
@attribute 253 NUMERIC
@attribute 254 NUMERIC
@attribute 255 NUMERIC
@attribute 256 NUMERIC
@attribute 257 NUMERIC
@attribute 258 NUMERIC
@attribute 259 NUMERIC
@attribute 260 NUMERIC
@attribute 261 NUMERIC
@attribute 262 NUMERIC
@attribute 263 NUMERIC
@attribute 264 NUMERIC
@attribute 265 NUMERIC
@attribute 266 NUMERIC
@attribute 267 NUMERIC
@attribute 268 NUMERIC
@attribute 269 NUMERIC
@attribute 270 NUMERIC
@attribute 271 NUMERIC
@attribute 272 NUMERIC
@attribute 273 NUMERIC
@attribute 274 NUMERIC
