1 1 1:1 2:1 4:1 5:1 7:1 8:1 10:1 11:1 13:1 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:1 2:1 5:1 13:1 14:1 15:1 17:1 19:1 20:1 21:1 22:1 23:2 25:1 26:1 27:1 28:1 30:1 31:1 32:1 33:1 34:1 36:1 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:1 37:1 38:1 39:1 42:1 43:1 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:1 46:1 47:1 49:1 50:1 51:1 53:1 54:1 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:1 55:1 56:2 57:1 59:1 60:1 61:1 62:1 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:1 46:1 47:1 		ủng_hộ bộ_trưởng tiến 
7 1 38:1 55:1 63:2 64:1 66:1 67:1 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:1 69:1 		chính_sách rất nhân_đạo
9 1 70:1 71:1 72:1 		hoan_hô các anh công_an 
10 1 42:1 64:1 73:1 74:1 75:1 76:1 77:1 78:1 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:1 81:1 82:1 83:1 84:1 85:1 86:1 88:1 89:1 90:1 91:1 92:1 93:1 94:2 95:3 96:1 97:1 99:1 100:1 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:1 70:1 72:1 97:1 101:1 102:1 103:1 104:1 105:2 106:1 107:1 108:1 109:1 110:1 111:1 112:1 113:1 115:1 116:1 118:1 119:1 120:1 121:1 122:1 123:1 124:1 125:2 126:1 127:1 128:1 129:2 130:1 131:1 132:1 133:1 136:1 137:1 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:1 82:1 91:1 97:1 105:2 106:1 110:1 113:1 118:1 140:2 142:1 143:1 144:1 145:1 146:1 147:1 148:1 150:1 151:1 152:1 153:1 154:1 155:1 156:1 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:1 71:1 157:1 158:1 		hoan_hô mấy anh cảnh_sát
