1 1 1:1.2218487330493364 2:1.1870866309318795 4:2.0 5:1.3979400086720377 7:2.3010299956639813 8:2.3010299956639813 10:2.3010299956639813 11:2.3010299956639813 13:1.6020599913279623 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:1.2218487330493364 2:1.1870866309318795 5:1.3979400086720377 13:1.6020599913279623 14:1.8239087243772987 15:1.6020599913279623 17:2.3010299956639813 19:2.3010299956639813 20:1.8239087243772987 21:0.7212463949054161 22:2.3010299956639813 23:2.3010299956639813 25:2.3010299956639813 26:2.3010299956639813 27:2.3010299956639813 28:2.3010299956639813 30:2.3010299956639813 31:2.3010299956639813 32:2.3010299956639813 33:2.0 34:2.0 36:1.6989700043360187 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:1.8239087243772987 37:2.0 38:1.3979400086720377 39:1.3010299956639813 42:1.3979400086720377 43:1.6020599913279623 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.8696662242569226 46:1.2596373063640012 47:2.0 49:0.978810696788307 50:1.6020599913279623 51:2.3010299956639813 53:2.3010299956639813 54:2.0 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:1.2596373063640012 55:2.0 56:2.3010299956639813 57:2.3010299956639813 59:1.8239087243772987 60:2.3010299956639813 61:1.6020599913279623 62:1.8239087243772987 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.8696662242569226 46:1.2596373063640012 47:2.0 		ủng_hộ bộ_trưởng tiến 
7 1 38:1.3979400086720377 55:2.0 63:2.0 64:1.5228787287133174 66:1.0222763905693972 67:1.4559319515079694 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:1.3979400086720377 69:2.0 		chính_sách rất nhân_đạo
9 1 70:1.6989700043360187 71:1.6989700043360187 72:2.0 		hoan_hô các anh công_an 
10 1 42:1.3979400086720377 64:1.5228787287133174 73:2.3010299956639813 74:2.0 75:2.3010299956639813 76:1.3010299956639813 77:1.8239087243772987 78:0.9208187373853551 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:1.8239087243772987 81:2.3010299956639813 82:2.0 83:2.0 84:2.3010299956639813 85:2.3010299956639813 86:2.3010299956639813 88:2.3010299956639813 89:2.0 90:2.0 91:1.1870866309318795 92:2.3010299956639813 93:2.3010299956639813 94:2.0 95:2.0 96:1.4559319515079694 97:1.3979400086720377 99:2.3010299956639813 100:2.3010299956639813 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
