1 1 1:-0.13922152088754197 2:-0.135260611001453 4:-0.22788667225621362 5:-0.15928594829504655 7:-0.2621870342367972 8:-0.2621870342367972 10:-0.2621870342367972 11:-0.2621870342367972 13:-0.18254406008927387 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:-0.13922152088754197 2:-0.135260611001453 5:-0.15928594829504655 13:-0.18254406008927387 14:-0.8155753991302194 15:-0.7163739607111894 17:-1.0289239982472098 19:-1.0289239982472098 20:-0.8155753991302194 21:-0.32251110405595795 22:-1.0289239982472098 23:-0.3362449486297908 25:-1.0289239982472098 26:-1.0289239982472098 27:-1.0289239982472098 28:-1.0289239982472098 30:-1.0289239982472098 31:-1.0289239982472098 32:-1.0289239982472098 33:-0.8943160238554868 34:-0.8943160238554868 36:-0.7597080494637637 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:-0.8155753991302194 37:0.09151498759284227 38:0.06396623127457968 39:0.059531871955552436 42:0.06396623127457968 43:0.07330625011468372 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:-0.03599780895733318 46:-0.05213975413241436 47:-0.08278534443048224 49:-0.04051559033293016 50:-0.06631354409019037 51:-0.09524578036795688 53:-0.09524578036795688 54:-0.08278534443048224 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:-0.05213975413241436 55:1.2942984017882964E-8 56:0.6926790645085164 57:1.4891097229274108E-8 59:1.180341073484634E-8 60:1.4891097229274108E-8 61:1.0367718431723768E-8 62:1.180341073484634E-8 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:-0.03599780895733318 46:-0.05213975413241436 47:-0.08278534443048224 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.06396623127457968 55:1.2942984017882964E-8 63:0.7958800173440752 64:0.14758219740930006 66:0.0990688183079093 67:0.14109438435948235 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.7309531358051344 69:1.045757516446643 		chính_sách rất nhân_đạo
9 1 70:0.676088138259007 71:0.676088138259007 72:0.7958800173440752 		hoan_hô các anh công_an 
10 1 42:0.06396623127457968 64:0.14758219740930006 73:0.10528936575197358 74:0.09151498759284227 75:0.10528936575197358 76:0.059531871955552436 77:0.08345749214093262 78:0.04213435766353873 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:-0.7568734802395048 81:-0.9548660838542162 82:-0.8299466635841761 83:-0.8299466635841761 84:-0.9548660838542162 85:-0.9548660838542162 86:-0.9548660838542162 88:-0.9548660838542162 89:-0.8299466635841761 90:-0.8299466635841761 91:-0.4926092943636468 92:-0.9548660838542162 93:-0.9548660838542162 94:-0.22788667225621362 95:0.12429581781201704 96:-0.6041729327798189 97:-0.5801078230440959 99:-0.9548660838542162 100:-0.9548660838542162 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:-0.13922152088754197 70:0.676088138259007 72:0.7958800173440752 97:-0.5801078230440959 101:-0.9093809543399517 102:-1.6083509683832087 103:-1.3979400280865142 104:-1.6083509683832087 105:-0.7958800367585517 106:-1.3979400280865142 107:-1.6083509683832087 108:-1.3979400280865142 109:-1.2748575066916197 110:-1.3979400280865142 111:-1.3979400280865142 112:-0.9093809543399517 113:-1.2748575066916197 115:-1.6083509683832087 116:-1.3979400280865142 118:-1.1875290877898197 119:-1.1875290877898197 120:-1.6083509683832087 121:-1.0176527765915522 122:-0.9093809543399517 123:-1.3979400280865142 124:-1.6083509683832087 125:-0.9156719187657897 126:-1.3979400280865142 127:-1.0176527765915522 128:-0.6841593264798133 129:-0.7258062713008238 130:-1.6083509683832087 131:-1.0176527765915522 132:-0.7667072071964306 133:-1.6083509683832087 136:-0.748304062738001 137:-1.3979400280865142 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:0.676088138259007 82:-0.8299466635841761 91:-0.4926092943636468 97:-0.5801078230440959 105:-0.7958800367585517 106:-1.3979400280865142 110:-1.3979400280865142 113:-1.2748575066916197 118:-1.1875290877898197 140:-0.3966708396569079 142:-0.7549209935263947 143:-1.037027853869807 144:-1.1931160990467349 145:-0.7896338298707758 146:-1.1931160990467349 147:-0.9457220750477037 148:-1.1931160990467349 150:-1.037027853869807 151:-1.1931160990467349 152:-1.037027853869807 153:-1.037027853869807 154:-1.1931160990467349 155:-0.9457220750477037 156:-1.1931160990467349 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:0.676088138259007 71:0.676088138259007 157:0.7958800173440752 158:0.9156718964291434 		hoan_hô mấy anh cảnh_sát
